Category,URL,Title,Project Team,Published Date,,download_link
Technical Studies,https://asianbondsonline.adb.org/abm.php#abm-2023-nov,Asia Bond Monitor - November 2023,"Shu Tian, Mai Lin Villaruel, Donghyun Park",27-Nov-23,,#N/A
Technical Studies,https://www.adb.org/publications/global-value-chain-development-report-2023,Global Value Chain Development Report 2023: Resilient and Sustainable GVCs in Turbulent Times,Mahinthan Joseph Mariasingham,17-Nov-23,,#N/A
Technical Studies,"https://www.adb.org/publications/market-infrastructures-asean3-project-tridecagon#:~:text=Aiming%20to%20connect%20key%20financial,payment%20(DVP)%20securities%20transactions.",Project Tridecagon: Connecting Market Infrastructures in ASEAN+3,S. Yamadera,15-Jun-23,,#N/A
Technical Studies,https://impact.economist.com/perspectives/sites/default/files/ei_norsk_hydro_briefing_report_business_in_an_era_of_heightened_geopolitical_instability.pdf,[Economist Impact] Business in an era of heightened geopolitical instability,Mahinthan Joseph Mariasingham,30-Dec-22,,#N/A
Technical Studies,https://www.adb.org/publications/local-currency-government-bond-market-after-covid-19,Developing a Local Currency Government Bond Market in an Emerging Economy After COVID-19,S. Yamadera,15-Dec-22,,#N/A
Technical Studies,https://asiandevbank.sharepoint.com/teams/org_erea/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2Forg%5Ferea%2FShared%20Documents%2FEREA%20Hub%20Files%2FGuidelines%2FHandbooks%2C%20Reference%20Guides%2FHandbook%20for%20the%20EA%20of%20Energy%20Projects%5F4th%2Epdf&parent=%2Fteams%2Forg%5Ferea%2FShared%20Documents%2FEREA%20Hub%20Files%2FGuidelines%2FHandbooks%2C%20Reference%20Guides,Handbook for the Economic Analysis of Energy Sector Projects,Manisha Pradhananga; Iva Sebastian Samaniego; Lotis Quiao,15-Dec-22,,#N/A
Technical Studies,https://asiandevbank.sharepoint.com/teams/org_erea/SiteAssets/SitePages/org_erea/CVM-Review_final_11-Nov.pdf?web=1,Contingent Valuation for Nonmarket Benefits of Investment Projects: A Review of ADB’s Practice,"J Liang, J Samson, J Sibal, L Quiao, D Raitzer",11-Nov-22,,#N/A
Technical Studies,https://www.adb.org/sites/default/files/publication/827631/green-bond-market-survey-cambodia.pdf,Green Bond Market Survey for Cambodia: Insights on the Perspectives of Institutional Investors and Underwriters,Kosintr Puongsophol,26-Sep-22,,#N/A
Technical Studies,https://www.elgaronline.com/view/edcoll/9781800883710/9781800883710.xml,"The Sustainability of Asia’s Debt: Problems, Policies, and Practices","Benno Ferrarini, Donghyun Park",23-Feb-22,,#N/A
Working Papers,https://www.adb.org/publications/heat-stress-air-pollution-risk,"Heat Stress, Air Pollution Risk and Population Exposure: Evidence from Selected Asian Countries",Minhaj Mahmud,27-Jan-26,,#N/A
Working Papers,https://www.adb.org/publications/climate-shocks-ncds-older-people-india,Climate Shocks and Noncommunicable Diseases Among Older People in India,Minhaj Mahmud,26-Jan-26,,#N/A
Working Papers,https://www.adb.org/publications/outcomes-childhood-poverty-indonesia,Long-Term Outcomes of Multi-Context Childhood Poverty: Evidence from Long Panel Data from Indonesia,Rhea Molato-Gayares and Albert F. Park,13-Jan-26,,#N/A
Working Papers,https://www.adb.org/publications/agricultural-support-covid19-shocks-nepal,Long-Term Effects of Group-Based Agricultural Support Amid COVID-19 Shocks in Nepal,David A. Raitzer,12-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/incentivizing-inclusion-viet-nam,Incentivizing Inclusion: Experimental Evidence on Lending to Women-Led Firms in Viet Nam, David A. Raitzer,11-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/climate-laws-green-finance,Climate Laws and Green Finance: The Value of Legal Commitment,Gabriele Ciminelli and Shu Tian,9-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/learning-last-mile-philippines,Learning at the Last Mile: Evidence from a Randomized Controlled Trial of Computer-Assisted Instruction in Remote Schools of the Philippines,David A. Raitzer,8-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/nutrition-food-vouchers-philippines,Nurturing Nutrition: Evidence from a Randomized Trial of Structured Electronic Food Vouchers in the Philippines,David A. Raitzer,4-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/digital-port-integration-terminal-efficiency,"Digital Port Integration and Terminal Efficiency: Evidence from Vessel, Truck, and Container Turnaround Times in Japanese Container Terminals",Yesim Elhan-Kayalar,2-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/electronic-single-window-rollout-prc,Digital Trade Facilitation and Container Traffic: Evidence from the Electronic Single Window Rollout in the People’s Republic of China,External authors,2-Dec-25,,#N/A
Working Papers,https://www.adb.org/publications/buyer-market-power-transport-mode,"Buyer Market Power, Transport Mode, and Exchange Rate Shocks",Aminur Rahman,28-Nov-25,,#N/A
Working Papers,https://www.adb.org/publications/remittances-exchange-rates-financial-development,"Remittances, Exchange Rates, and the Role of Financial Development",John Beirne,27-Nov-25,,#N/A
Working Papers,https://www.adb.org/publications/super-resolution-sentinel2-images,Beyond Pretty Pictures: Combined Single- and Multi-Image Super-Resolution for Sentinel-2 Images,Yohan Iddawela,26-Nov-25,,#N/A
Working Papers,https://www.adb.org/publications/panama-canal-drought-asia-us-trade,Panama Canal Drought and Supply Chain Disruptions in Asia-US Trade: Evidence from Micro-Level Trade Shipments and Vessel Trajectory Data,Kijin Kim,25-Nov-25,,#N/A
Working Papers,https://www.adb.org/publications/digitalization-lead-climate-awareness,Does Digitalization Lead to Climate Awareness? A Cross-Country Panel Data Analysis,Donghyun Park and John Beirne,24-Nov-25,,#N/A
Working Papers,https://www.adb.org/publications/emerging-asia-service-exporters,What Explains the Success of Emerging Asia’s Service Exporters?,Katariina Nilsson Hakkala,1-Oct-25,,#N/A
Working Papers,https://www.adb.org/publications/inheritance-taxes-entrepreneurship,Golden Handcuffs or Silver Spurs? The Implications of Inheritance Taxes for Entrepreneurship,Donghyun Park and Shu Tian,23-Sep-25,,#N/A
Working Papers,https://www.adb.org/publications/youth-labor-market-entrepreneurship-bhutan,"Youth, Labor Market Dynamics, and the Role of Entrepreneurship in Bhutan",Silvia Garcia Mandico,12-Sep-25,,#N/A
Working Papers,https://www.adb.org/publications/digitalization-female-male-entrepreneurial-potential,Digitalization in Shaping Female and Male Entrepreneurial Potential,"Shu Tian, Donghyun Park",15-Aug-25,,#N/A
Working Papers,https://www.adb.org/publications/impact-economic-climate-resilience,Impact of Economic and Climate Resilience on Sustainable Development: A Cross-Country Analysis,"Donghyun Park, John Beirne",13-Aug-25,,#N/A
Working Papers,https://www.adb.org/publications/digital-accessibility-poverty-reduction,Digital Accessibility and Poverty Reduction: Global Perspectives,Donghyun Park and Shu Tian,11-Aug-25,,#N/A
Working Papers,https://www.adb.org/publications/monetary-policy-corporate-productivity,Monetary Policy and Corporate Productivity in Emerging Markets,John Beirne,18-Jul-25,,#N/A
Working Papers,https://www.adb.org/publications/modeling-impact-carbon-border-policies,"Modeling the Impact of Carbon Border Policies on Emissions, Global Value Chains, and Welfare",Neil Foster-McGregor,16-Jul-25,,#N/A
Working Papers,https://www.adb.org/publications/esg-emphasis-companies-deep-learning,"The Environmental, Social, and Governance Emphasis of Leading Companies in East Asia and Southeast Asia Unveiled by Deep Learning",Satoru Yamadera,14-Jul-25,,#N/A
Working Papers,https://www.adb.org/publications/descriptive-analysis-poverty-older-people-philippines,A Descriptive Analysis of Poverty Among Older People in the Philippines,"Arturo Martinez Jr., Aiko Kikkawa, Donghyun Park, and Joseph Albert Niño Bulan",9-Jul-25,,#N/A
Working Papers,https://www.adb.org/publications/new-framework-seasonal-adjustment-armenia,From Noise to Turning Points: A New Framework for Seasonal Adjustment in Armenia,Stefan Schipper and Pamela Lapitan,23-Jun-25,,#N/A
Working Papers,https://www.adb.org/publications/sme-development-index-firm-level-thailand,Designing a Country’s Small and Medium-Sized Enterprise Development Index Using Firm-Level Data: The Case of Thailand,Shigehiro Shinozaki,11-Jun-25,,#N/A
Working Papers,https://www.adb.org/publications/regionalism-productivity-innovation,"Regionalism, Productivity, and Innovation: An Empirical Investigation",Rolando Avendano,13-Dec-24,,#N/A
Working Papers,https://www.adb.org/publications/environmental-provisions-ptas-reduce-emissions,Do Environmental Provisions in Preferential Trade Agreements Reduce Emissions Traded in Global Value Chains?,Neil Foster-McGregor,2-Dec-24,,#N/A
Working Papers,https://www.adb.org/publications/student-performance-covid19-school-closure-bhutan,Determinants of Student Performance During the COVID-19 Pandemic School Closure in Bhutan,"Milan Thomas, David Anthony Raitzer, Ryotaro Hayashi",22-Nov-24,,#N/A
Working Papers,https://www.adb.org/publications/external-shocks-labor-market-reforms,External Shocks and Labor Market Reforms in Autocracies and Democracies: Evidence from Oil Price Windfalls,Gabriele Ciminelli,13-Nov-24,,#N/A
Working Papers,https://www.adb.org/publications/impact-climate-risk-fiscal-space,Impact of Climate Risk on Fiscal Space: Does Political Stability and Financial Development Matter?,"John Beirne, Donghyun Park",30-Oct-24,,#N/A
Working Papers,https://dx.doi.org/10.22617/WPS220217-2,EWP No. 659 Covid-19 Lockdown Policy and Heterogeneous Responses of Urban Mobility - Evidence from the Philippines,"Yi Jiang , Jade R. Laranjo, and Milan Thomas",26-May-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/sites/default/files/publication/1106756/adb-brief-372-data-integration-tool-philippines.pdf?,Developing a Data Integration Tool for Poverty and Vulnerability Assessment: Reflections from a Pilot Initiative in the Philippines,"Arturo Martinez, Jr.",16-Dec-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/financing-southeast-asia-s-shift-cleaner-energy,Financing Southeast Asia’s Shift to Cleaner Energy,K. Puongsophol,12-Dec-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/enhancing-productive-entrepreneurship,Enhancing Productive Entrepreneurship Through Institutional Framework Conditions,Donghyun Park and Shu Tian,3-Dec-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/institutions-matter-entrepreneurship,Do Institutions Matter for Entrepreneurship?,Donghyun Park and Shu Tian,2-Dec-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/statistical-capacity-building-digital-age,Statistical Capacity Building in the Digital Age,"Elaine S. Tan, Mac Cordel, Eugenia Go",28-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/reduce-inequality-governments-should-spend-strategically,"To Reduce Inequality, Governments Should Spend Strategically",Donghyun Park and John Beirne,26-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/digital-transformation-entrepreneurial-innovation,Digital Transformation and Entrepreneurial Innovation in Developing Asia: Comparative Evidence and Policy Lessons,Donghyun Park,20-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/protecting-asia-s-natural-resources-profitable,Protecting Asia’s Natural Resources is Profitable,"Albert F. Park, Madhavi Pundit",20-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/mechanization-and-financing-can-extend-older-farmers-working-lives,Mechanization and Financing Can Extend Older Farmers’ Working Lives,Aiko Kikkawa,14-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-we-can-build-cleaner-more-connected-southeast-asia,"How We Can Build a Cleaner, More Connected Southeast Asia",K. Puongsophol,11-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/turning-wealth-innovation-surprising-power-inheritance-taxes,Turning Wealth Into Innovation: The Surprising Power of Inheritance Taxes, Donghyun Park and Shu Tian,10-Nov-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/summary/fighting-heat-workplace,Fighting Heat at the Workplace,"Arturo Martinez, Jr., Maria Concordia Alfonso, Anna Marie Fernando, Aileen Guyos",29-Oct-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/asias-graying-workforce-can-ai-be-silver-lining,Asia’s Graying Workforce: Can AI be the Silver Lining?,"Arturo Martinez, Jr., Christina Leny Hernandez, Christian Flora Mae Soco, Mar Andriel Umali, Mildred Addawe",28-Oct-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/robust-fundamentals-shield-developing-economies-global-shocks,Robust Fundamentals Shield Developing Economies from Global Shocks,"Donna Faye Bajaro, John Beirne, Pilipinas Quising",10-Oct-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/lessons-asia-digitalization-strategies,"Comparative Lessons from Asia’s National Digitalization Strategies: Indonesia, the Republic of Korea, Singapore, and Thailand",Donghyun Park and Shu Tian,23-Sep-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-many-people-asia-and-pacific-are-poor?fbclid=IwY2xjawM9kIxleHRuA2FlbQIxMABicmlkETFjRFh3NjhxSEVmTDRza01QAR6Dn4uQTWot_Gei-kHhLt7uuo5IGNBLyJIU9OzvuBBO9GyI9Wzvr0D6p5yyZQ_aem_o_41Ktzc2edA9JrNgMI5UQ,Your Questions Answered: How Many People in Asia and the Pacific are Poor?,"Arturo Martinez, Jr., Joseph Bulan",19-Sep-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/summary/how-ai-and-satellites-are-transforming-poverty-analysis,[DevAsia] How AI and Satellites are Transforming Poverty Analysis,"Arturo Martinez, Jr.",10-Sep-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/why-tailored-strategies-and-strong-institutions-are-key-clean-energy-growth,Why Tailored Strategies and Strong Institutions Are Key to Clean Energy Growth,Donghyun Park and Shu Tian,28-Aug-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/advancing-agricultural-statistics-pacific-island-countries-through-uavs,[DevAsia Explainer] Advancing Agricultural Statistics in Pacific Island Countries Through UAVs,"Takaaki Masaki, Anna Christine Durante, Anthony Burgard",27-Aug-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/debt-rules-and-strong-institutions-can-safeguard-monetary-policy,Debt Rules and Strong Institutions Can Safeguard Monetary Policy,"Donna Faye Bajaro, Jaqueson Galimberti, Irfan Qureshi",18-Aug-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/getting-timing-right-disasters-debt-and-livelihoods,"Getting the Timing Right: Disasters, Debt and Livelihoods",Alexander Raabe,11-Aug-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-will-us-tariffs-affect-asia-and-pacific,Your Questions Answered: How Will US Tariffs Affect Asia and the Pacific?,"Melanie Grace Quintos, Priscille Villanueva, Matteo Lanzafame",25-Jul-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/monitoring-passageways-smarter-maritime-transport-and-trade,[DevAsia] Monitoring Passageways for Smarter Maritime Transport and Trade," Mac Cordel, Mahinthan Joseph Mariasingham, Elaine S. Tan",16-Jul-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/digital-agreements-can-boost-trade-across-asia-and-pacific,Digital Agreements Can Boost Trade Across Asia and the Pacific,"Pramila Crivelli, Rolando Avendano",16-Jul-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/bridge-urban-rural-water-gap-through-infrastructure-and-microfinance,Bridge the Urban-Rural Water Gap Through Infrastructure and Microfinance,Stefan Schipper,11-Jul-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/redirecting-revenue-toward-health-could-curb-asia-s-chronic-disease-surge,Redirecting Revenue Toward Health Could Curb Asia’s Chronic Disease Surge,"Stefan Schipper, Jomel Jhele Sadsad, and Sean Crowley",26-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/policy-brief/cooling-without-warming-policy-solutions-asias-rising-cooling-demand,Cooling Without Warming: Policy Solutions for Asia’s Rising Cooling Demand,D. Azhgaliyeva,23-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/intraday-liquidity-cross-border-collateral,Asian Bond Markets Initiative Brief No.11-Intraday Liquidity and Cross-Border Collateral: Central Bank Perspectives,S. Yamadera,20-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/digitalization-inclusive-growth,Digitalization for Inclusive Growth,"Sanchita Basu Das, Aleli Rosario",17-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/sites/default/files/publication/1062491/adb-brief-343-enterprise-surveys-digital-data-collection.pdf,Improving Enterprise Surveys Through Mixed-Mode Digital Data Collection,"Mahinthan Joseph Mariasingham, Pamela Lapitan",17-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-asia-s-low-cost-nutrition-programs-are-cutting-child-stunting,How Asia’s Low-Cost Nutrition Programs Are Cutting Child Stunting,,10-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/larger-capital-markets-are-powering-job-creation-and-investment,Larger Capital Markets Are Powering Job Creation and Investment,Donghyun Park and Shu Tian,10-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/summary/unlocking-msme-potential-sustainable-growth-timor-leste,Unlocking MSME Potential for Sustainable Growth in Timor-Leste,Shigehiro Shinozaki,10-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-solve-asia-s-youth-employment-crisis,How to Solve Asia's Youth Employment Crisis,Stefan Schipper,4-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/why-central-banks-asia-should-consider-cutting-interest-rates,Why Central Banks in Asia Should Consider Cutting Interest Rates,"John Beirne, Matteo Lanzafame",3-Jun-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/ai-powered-and-asia-made-leading-way-chip-design-and-supply-chain-resilience,AI-Powered and Asia-Made: Leading the Way with Chip Design and Supply Chain Resilience,"Matteo Lanzafame, Gabriele Ciminelli, Shiela Camingue-Romance",29-May-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/marine-protected-areas-are-key-saving-asia-s-oceans-and-coastal-communities,Marine Protected Areas are Key to Saving Asia’s Oceans and Coastal Communities,Stefan Schipper,22-May-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/signal-boosters-expand-broadband-and-boost-skills-close-asia-s-digital-divides,Signal Boosters: Expand Broadband and Boost Skills to Close Asia's Digital Divides,Donghyun Park and Sanchita Basu-Das,7-May-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/making-connections-how-asia-s-tourism-taking-again,Making Connections: How Asia’s Tourism Is Taking Off Again,Sanchita Basu Das,6-May-25,,#N/A
